timestamp,positive,negative
2014/6/6:0,0.157511504,-0.345157792
2014/6/6:1,0.15146196,-0.341249553
2014/6/6:2,0.145901087,-0.353477602
2014/6/6:3,0.16095191,-0.334998316
2014/6/6:4,0.155570569,-0.341398109
2014/6/6:5,0.167875224,-0.341227047
2014/6/6:6,0.158449896,-0.338834953
2014/6/6:7,0.143989633,-0.330680647
2014/6/6:8,0.155040414,-0.346241957
2014/6/6:9,0.139382604,-0.316929235
2014/6/6:10,0.18002027,-0.337660619
2014/6/6:11,0.170507874,-0.307752158
2014/6/6:12,0.211455237,-0.331751323
2014/6/6:13,0.181761677,-0.314109954
2014/6/6:14,0.170342064,-0.321807637
2014/6/6:15,0.170078326,-0.325788895
2014/6/6:16,0.163789902,-0.326696809
2014/6/6:17,0.163483845,-0.342942329
2014/6/6:18,0.153880265,-0.325439745
2014/6/6:19,0.164390165,-0.329184208
2014/6/6:20,0.151972366,-0.326701336
2014/6/6:21,0.161894645,-0.348207393
2014/6/6:22,0.159007392,-0.354003643
2014/6/6:23,0.161265659,-0.344795161
2014/6/7:0,0.176128509,-0.302699769
2014/6/7:1,0.168263343,-0.340191301
2014/6/7:2,0.154425931,-0.355460168
2014/6/7:3,0.155551019,-0.346624122
2014/6/7:4,0.156220525,-0.339301459
2014/6/7:5,0.161027461,-0.343973342
2014/6/7:6,0.14928125,-0.356426009
2014/6/7:7,0.148862641,-0.348558641
2014/6/7:8,0.15980195,-0.357771957
2014/6/7:9,0.132518232,-0.383738643
2014/6/7:10,0.152991219,-0.346710398
2014/6/7:11,0.168710201,-0.331471352
2014/6/7:12,0.170697795,-0.334370058
2014/6/7:13,0.174518217,-0.325681282
2014/6/7:14,0.179558022,-0.322828946
2014/6/7:15,0.171547259,-0.338007859
2014/6/7:16,0.161635934,-0.345114941
2014/6/7:17,0.162704957,-0.332839217
2014/6/7:18,0.152010501,-0.356461742
2014/6/7:19,0.158107295,-0.349061844
2014/6/7:20,0.156818558,-0.344969492
2014/6/7:21,0.145907148,-0.333029461
2014/6/7:22,0.158490732,-0.344249941
2014/6/7:23,0.158249766,-0.348321639
2014/6/8:0,0.146748929,-0.339511503
2014/6/8:1,0.154093307,-0.344651492
2014/6/8:2,0.150461483,-0.357874767
2014/6/8:3,0.152395948,-0.359342155
2014/6/8:4,0.159751304,-0.348799963
2014/6/8:5,0.161317867,-0.342714707
2014/6/8:6,0.145835868,-0.348301828
2014/6/8:7,0.15302165,-0.349696458
2014/6/8:8,0.147915519,-0.322707282
2014/6/8:9,0.13781934,-0.31591217
2014/6/8:10,0.155403494,-0.335407554
2014/6/8:11,0.17927608,-0.342301179
2014/6/8:12,0.167377813,-0.35308367
2014/6/8:13,0.173624485,-0.319253985
2014/6/8:14,0.166992671,-0.359241848
2014/6/8:15,0.1687432,-0.335687548
2014/6/8:16,0.172450066,-0.342689471
2014/6/8:17,0.166897813,-0.331430997
2014/6/8:18,0.157765124,-0.347667402
2014/6/8:19,0.164215132,-0.33962391
2014/6/8:20,0.162988294,-0.35582832
2014/6/8:21,0.151987793,-0.358472849
2014/6/8:22,0.156104033,-0.336742955
2014/6/8:23,0.164013842,-0.321730682
2014/6/9:0,0.162359952,-0.344004704
2014/6/9:1,0.161428439,-0.359538657
2014/6/9:2,0.15886261,-0.358621904
2014/6/9:3,0.163390966,-0.335627107
2014/6/9:4,0.16452716,-0.337619482
2014/6/9:5,0.15570825,-0.362037144
2014/6/9:6,0.148944334,-0.336382118
2014/6/9:7,0.142436712,-0.338888319
2014/6/9:8,0.148904795,-0.330542838
2014/6/9:9,0.163905474,-0.310683232
2014/6/9:10,0.161342423,-0.343173983
2014/6/9:11,0.16518162,-0.304048953
2014/6/9:12,0.169687795,-0.287359447
2014/6/9:13,0.168514241,-0.321224646
2014/6/9:14,0.165242655,-0.343738295
2014/6/9:15,0.16921977,-0.360990587
2014/6/9:16,0.167502337,-0.333916893
2014/6/9:17,0.156509749,-0.341260781
2014/6/9:18,0.161596436,-0.345776144
2014/6/9:19,0.15548213,-0.343910757
2014/6/9:20,0.154240839,-0.350294316
2014/6/9:21,0.165094896,-0.346355329
2014/6/9:22,0.15230494,-0.340095008
2014/6/9:23,0.155776575,-0.349481063
2014/6/10:0,0.155844362,-0.348421279
2014/6/10:1,0.156450684,-0.338637692
2014/6/10:2,0.154346134,-0.343000246
2014/6/10:3,0.158305794,-0.346125725
2014/6/10:4,0.158619234,-0.354984554
2014/6/10:5,0.161478368,-0.340841182
2014/6/10:6,0.145886069,-0.350346897
2014/6/10:7,0.15171436,-0.335198975
2014/6/10:8,0.144842634,-0.321886175
2014/6/10:9,0.134893045,-0.342757083
2014/6/10:10,0.165995965,-0.293379268
2014/6/10:11,0.177702144,-0.316016343
2014/6/11:15,0.165458219,-0.348803731
2014/6/11:16,0.155611016,-0.35529651
2014/6/11:17,0.154054324,-0.336834859
2014/6/11:18,0.156429281,-0.352139194
2014/6/11:19,0.135676892,-0.312645706
2014/6/11:20,0.142808597,-0.329127238
2014/6/11:21,0.15762259,-0.361640294
2014/6/11:22,0.168931133,-0.345163162
2014/6/11:23,0.148626588,-0.339829097
2014/6/12:0,0.153295183,-0.340436253
2014/6/12:1,0.152261157,-0.359289607
2014/6/12:2,0.16071491,-0.344368735
2014/6/12:3,0.154019549,-0.348603295
2014/6/12:4,0.152484944,-0.335734572
2014/6/12:5,0.155770849,-0.355980276
2014/6/12:6,0.143680411,-0.343915087
2014/6/12:7,0.142398069,-0.337117961
2014/6/12:8,0.125920393,-0.333647088
2014/6/12:9,0.120530705,-0.334721729
2014/6/12:10,0.139636067,-0.358332851
2014/6/12:11,0.154888854,-0.330678868
2014/6/12:12,0.177629905,-0.332356532
2014/6/12:13,0.174851541,-0.317966509
2014/6/12:14,0.163435974,-0.341377741
2014/6/12:15,0.171565376,-0.324429266
